ID,BattingTeam,innings,bowling_team,bowler,overs,wickets,runs_conceeded,Balls_Bowled,Econ,Avg,Strike_Rate,noballs,wides,Season,City
335987,Rajasthan Royals,2,Kings XI Punjab,S Sreesanth,4,1,38,24,9.5,38.0,24.0,2,3,2008,Jaipur
335987,Rajasthan Royals,2,Kings XI Punjab,WA Mota,1,0,12,6,12.0,0.0,0.0,0,0,2008,Jaipur
335988,Deccan Chargers,1,Delhi Daredevils,GD McGrath,4,0,22,24,5.5,0.0,0.0,0,0,2008,Hyderabad
335988,Deccan Chargers,1,Delhi Daredevils,MF Maharoof,4,2,36,25,9.0,18.0,12.5,0,1,2008,Hyderabad
335988,Deccan Chargers,1,Delhi Daredevils,Mohammad Asif,4,2,19,24,4.75,9.5,12.0,0,0,2008,Hyderabad
335988,Deccan Chargers,1,Delhi Daredevils,R Bhatia,4,2,27,24,6.75,13.5,12.0,0,0,2008,Hyderabad
335988,Deccan Chargers,1,Delhi Daredevils,VY Mahesh,4,1,35,25,8.75,35.0,25.0,1,0,2008,Hyderabad
335988,Delhi Daredevils,2,Deccan Chargers,A Symonds,2,0,35,12,17.5,0.0,0.0,0,0,2008,Hyderabad
335988,Delhi Daredevils,2,Deccan Chargers,PP Ojha,1,0,12,8,12.0,0.0,0.0,0,2,2008,Hyderabad
335988,Delhi Daredevils,2,Deccan Chargers,RP Singh,3,1,27,19,9.0,27.0,19.0,0,1,2008,Hyderabad
335988,Delhi Daredevils,2,Deccan Chargers,SB Bangar,2,0,30,13,15.0,0.0,0.0,0,1,2008,Hyderabad
335988,Delhi Daredevils,2,Deccan Chargers,Shahid Afridi,2,0,17,12,8.5,0.0,0.0,0,0,2008,Hyderabad
335988,Delhi Daredevils,2,Deccan Chargers,WPUJC Vaas,4,0,22,19,5.5,0.0,0.0,0,1,2008,Hyderabad
335989,Chennai Super Kings,1,Mumbai Indians,A Nehra,4,1,35,27,8.75,35.0,27.0,1,2,2008,Chennai
