ID,innings,BattingTeam,bowling_team,total_run_y
1216515,2,Kolkata Knight Riders,Delhi Capitals,210
1216514,1,Rajasthan Royals,Royal Challengers Bangalore,154
1216514,2,Royal Challengers Bangalore,Rajasthan Royals,158
1216513,1,Kings XI Punjab,Chennai Super Kings,178
1216513,2,Chennai Super Kings,Kings XI Punjab,181
1216512,1,Kolkata Knight Riders,Sunrisers Hyderabad,163
1216512,2,Sunrisers Hyderabad,Kolkata Knight Riders,163
1216512,3,Sunrisers Hyderabad,,2
1216512,4,Kolkata Knight Riders,,3
1216511,1,Mumbai Indians,Rajasthan Royals,193
1216511,2,Rajasthan Royals,Mumbai Indians,136
1216510,1,Kings XI Punjab,Royal Challengers Bangalore,206
1216510,2,Royal Challengers Bangalore,Kings XI Punjab,109
1216509,1,Chennai Super Kings,Delhi Capitals,179
1216509,2,Delhi Capitals,Chennai Super Kings,185
1216508,1,Mumbai Indians,Kolkata Knight Riders,195
1216508,2,Kolkata Knight Riders,Mumbai Indians,146
1216507,1,Sunrisers Hyderabad,Rajasthan Royals,158
1216507,2,Rajasthan Royals,Sunrisers Hyderabad,163
1216506,1,Kings XI Punjab,Chennai Super Kings,153
1216506,2,Chennai Super Kings,Kings XI Punjab,154
1216505,1,Royal Challengers Bangalore,Delhi Capitals,152
1216505,2,Delhi Capitals,Royal Challengers Bangalore,154
1216504,1,Kolkata Knight Riders,Rajasthan Royals,174
1216504,2,Rajasthan Royals,Kolkata Knight Riders,137
1216503,1,Mumbai Indians,Kings XI Punjab,191
1216503,2,Kings XI Punjab,Mumbai Indians,143
1216502,1,Royal Challengers Bangalore,Sunrisers Hyderabad,120
1216502,2,Sunrisers Hyderabad,Royal Challengers Bangalore,121
1216501,1,Kolkata Knight Riders,Chennai Super Kings,167
1216501,2,Chennai Super Kings,Kolkata Knight Riders,157
1216500,1,Delhi Capitals,Rajasthan Royals,184
1216500,2,Rajasthan Royals,Delhi Capitals,138
1216499,1,Royal Challengers Bangalore,Mumbai Indians,164
1216499,2,Mumbai Indians,Royal Challengers Bangalore,166
1216498,1,Kings XI Punjab,Sunrisers Hyderabad,126
1216498,2,Sunrisers Hyderabad,Kings XI Punjab,114
1216497,1,Kolkata Knight Riders,Delhi Capitals,194
1216497,2,Delhi Capitals,Kolkata Knight Riders,135
1216496,1,Rajasthan Royals,Chennai Super Kings,216
1216496,2,Chennai Super Kings,Rajasthan Royals,200
1216495,1,Mumbai Indians,Sunrisers Hyderabad,149
1216495,2,Sunrisers Hyderabad,Mumbai Indians,151
1216494,1,Kolkata Knight Riders,Royal Challengers Bangalore,84
1216494,2,Royal Challengers Bangalore,Kolkata Knight Riders,85
1216493,1,Delhi Capitals,Kings XI Punjab,157
1216493,2,Kings XI Punjab,Delhi Capitals,157
1216493,3,Kings XI Punjab,,2
1216493,4,Delhi Capitals,,3
1216492,1,Mumbai Indians,Chennai Super Kings,162
1216492,2,Chennai Super Kings,Mumbai Indians,166
1181768,1,Mumbai Indians,Chennai Super Kings,149
1181768,2,Chennai Super Kings,Mumbai Indians,148
1181767,1,Delhi Capitals,Chennai Super Kings,147
1181767,2,Chennai Super Kings,Delhi Capitals,151
1181766,1,Sunrisers Hyderabad,Delhi Capitals,162
1181766,2,Delhi Capitals,Sunrisers Hyderabad,165
1181764,1,Chennai Super Kings,Mumbai Indians,131
1181764,2,Mumbai Indians,Chennai Super Kings,132
1178431,1,Kolkata Knight Riders,Mumbai Indians,133
1178431,2,Mumbai Indians,Kolkata Knight Riders,134
1178430,1,Chennai Super Kings,Kings XI Punjab,170
1178430,2,Kings XI Punjab,Chennai Super Kings,173
1178429,1,Sunrisers Hyderabad,Royal Challengers Bangalore,175
1178429,2,Royal Challengers Bangalore,Sunrisers Hyderabad,178
1178428,1,Rajasthan Royals,Delhi Capitals,115
1178428,2,Delhi Capitals,Rajasthan Royals,121
1178427,1,Kings XI Punjab,Kolkata Knight Riders,183
1178427,2,Kolkata Knight Riders,Kings XI Punjab,185
1178426,1,Mumbai Indians,Sunrisers Hyderabad,162
1178426,2,Sunrisers Hyderabad,Mumbai Indians,162
1178426,3,Sunrisers Hyderabad,,8
1178426,4,Mumbai Indians,,9
1178425,1,Chennai Super Kings,Delhi Capitals,179
1178425,2,Delhi Capitals,Chennai Super Kings,99
1178424,1,Royal Challengers Bangalore,Rajasthan Royals,62
1178424,2,Rajasthan Royals,Royal Challengers Bangalore,41
1178423,1,Sunrisers Hyderabad,Kings XI Punjab,212
1178423,2,Kings XI Punjab,Sunrisers Hyderabad,167
1178422,1,Kolkata Knight Riders,Mumbai Indians,232
1178422,2,Mumbai Indians,Kolkata Knight Riders,198
1178421,1,Delhi Capitals,Royal Challengers Bangalore,187
1178421,2,Royal Challengers Bangalore,Delhi Capitals,171
1178420,1,Sunrisers Hyderabad,Rajasthan Royals,160
1178420,2,Rajasthan Royals,Sunrisers Hyderabad,161
1178419,1,Mumbai Indians,Chennai Super Kings,155
1178419,2,Chennai Super Kings,Mumbai Indians,109
1178418,1,Kolkata Knight Riders,Rajasthan Royals,175
1178418,2,Rajasthan Royals,Kolkata Knight Riders,177
1178417,1,Royal Challengers Bangalore,Kings XI Punjab,202
1178417,2,Kings XI Punjab,Royal Challengers Bangalore,185
1178416,1,Sunrisers Hyderabad,Chennai Super Kings,175
1178416,2,Chennai Super Kings,Sunrisers Hyderabad,176
1178415,1,Rajasthan Royals,Delhi Capitals,191
1178415,2,Delhi Capitals,Rajasthan Royals,193
1178414,1,Royal Challengers Bangalore,Chennai Super Kings,161
1178414,2,Chennai Super Kings,Royal Challengers Bangalore,160
1178413,1,Kolkata Knight Riders,Sunrisers Hyderabad,159
1178413,2,Sunrisers Hyderabad,Kolkata Knight Riders,161
1178412,1,Kings XI Punjab,Delhi Capitals,163
1178412,2,Delhi Capitals,Kings XI Punjab,166
1178411,1,Mumbai Indians,Rajasthan Royals,161
1178411,2,Rajasthan Royals,Mumbai Indians,162
1178410,1,Royal Challengers Bangalore,Kolkata Knight Riders,213
1178410,2,Kolkata Knight Riders,Royal Challengers Bangalore,203
1178409,1,Mumbai Indians,Delhi Capitals,168
1178409,2,Delhi Capitals,Mumbai Indians,128
1178408,1,Chennai Super Kings,Sunrisers Hyderabad,132
1178408,2,Sunrisers Hyderabad,Chennai Super Kings,137
1178407,1,Kings XI Punjab,Rajasthan Royals,182
1178407,2,Rajasthan Royals,Kings XI Punjab,170
1178406,1,Royal Challengers Bangalore,Mumbai Indians,171
1178406,2,Mumbai Indians,Royal Challengers Bangalore,172
1178405,1,Delhi Capitals,Sunrisers Hyderabad,155
1178405,2,Sunrisers Hyderabad,Delhi Capitals,116
1178404,1,Kolkata Knight Riders,Chennai Super Kings,161
1178404,2,Chennai Super Kings,Kolkata Knight Riders,162
1178403,1,Kings XI Punjab,Royal Challengers Bangalore,173
1178403,2,Royal Challengers Bangalore,Kings XI Punjab,174
1178402,1,Mumbai Indians,Rajasthan Royals,187
1178402,2,Rajasthan Royals,Mumbai Indians,188
1178401,1,Kolkata Knight Riders,Delhi Capitals,178
1178401,2,Delhi Capitals,Kolkata Knight Riders,180
1178400,1,Rajasthan Royals,Chennai Super Kings,151
1178400,2,Chennai Super Kings,Rajasthan Royals,155
1178399,1,Kings XI Punjab,Mumbai Indians,197
1178399,2,Mumbai Indians,Kings XI Punjab,198
1178398,1,Kolkata Knight Riders,Chennai Super Kings,108
1178398,2,Chennai Super Kings,Kolkata Knight Riders,111
1178397,1,Sunrisers Hyderabad,Kings XI Punjab,150
1178397,2,Kings XI Punjab,Sunrisers Hyderabad,151
